model,mixture_type,sample,source_label,q025,q25,median,q75,q975,true_proportion,p50_hit,p95_hit,w50,w95,e50,e95,ae50,ae95,crps
BMM,Laboratory,mel24,Subsurface,0.0,0.05324337638872549,0.17115418520794218,0.28897183489923717,0.5064713404199309,0.375,False,True,0.23572845851051166,0.5064713404199309,-0.08602816510076283,0.0,0.08602816510076283,0.0,0.1259802879021536
BMM,Laboratory,mel26,Cropland,0.0,0.2514715307157851,0.4481547826053021,0.6209104922194462,0.8953864777357653,0.875,False,True,0.36943896150366107,0.8953864777357653,-0.25408950778055384,0.0,0.25408950778055384,0.0,0.30045992969313184
BMM,Laboratory,mel26,Decontaminated,0.0,0.13650114771903113,0.3229799690886763,0.5044260858846366,0.8297070655545697,0.0,False,True,0.36792493816560545,0.8297070655545697,0.13650114771903113,0.0,0.13650114771903113,0.0,0.1985195740401242
BMM,Laboratory,mel26,Forest,0.0,4.0561160637245544e-17,0.1073645017061461,0.22835893794791692,0.49405550089029265,0.0,False,True,0.2283589379479169,0.49405550089029265,4.0561160637245544e-17,0.0,4.0561160637245544e-17,0.0,0.06154183708964471
BMM,Laboratory,mel26,Subsurface,0.0,8.673617434814009e-18,0.042706578341568095,0.15685170896704156,0.36291348390796907,0.125,True,True,0.15685170896704156,0.36291348390796907,0.0,0.0,0.0,0.0,0.04379068622279264
BMM,Laboratory,mel27,Cropland,0.0,6.326115923254482e-17,0.19022635631503448,0.4296361987405188,0.8815767535295183,0.125,True,True,0.4296361987405187,0.8815767535295183,0.0,0.0,0.0,0.0,0.07619436757835316
BMM,Laboratory,mel27,Decontaminated,0.0,2.7582421082925785e-17,0.12166749041715702,0.32954461550495595,0.7240003215766521,0.0,False,True,0.32954461550495595,0.7240003215766521,2.7582421082925785e-17,0.0,2.7582421082925785e-17,0.0,0.07745183291052234
BMM,Laboratory,mel27,Forest,1.9461428996114808e-18,0.3553107920828993,0.504529700818855,0.654038735717384,0.9298073522636331,0.875,False,True,0.29872794363448474,0.9298073522636331,-0.22096126428261598,0.0,0.22096126428261598,0.0,0.2556580043286527
BMM,Laboratory,mel27,Subsurface,0.0,0.0,4.857225732735059e-17,0.08881109663123937,0.35661420210594375,0.0,True,True,0.08881109663123937,0.35661420210594375,0.0,0.0,0.0,0.0,0.01322758410720904
BMM,Laboratory,mel29,Cropland,0.0,0.08062301315829748,0.2925415710050647,0.4940363244639647,0.8664298256497939,0.375,True,True,0.4134133113056673,0.8664298256497939,0.0,0.0,0.0,0.0,0.07689773485831433
BMM,Laboratory,mel29,Decontaminated,0.0,0.02051913157812802,0.2148523903129313,0.402977180057326,0.7521490174203558,0.0,False,True,0.382458048479198,0.7521490174203558,0.02051913157812802,0.0,0.02051913157812802,0.0,0.12236171816493943
BMM,Laboratory,mel29,Forest,0.0,0.25218331414150336,0.3913690984114195,0.5226364344133172,0.8271866854472799,0.625,False,True,0.27045312027181384,0.8271866854472799,-0.1023635655866828,0.0,0.1023635655866828,0.0,0.1483905314243794
BMM,Laboratory,mel29,Subsurface,0.0,0.0,4.1614832916196646e-17,0.08143746991844211,0.2949043214353989,0.0,True,True,0.08143746991844211,0.2949043214353989,0.0,0.0,0.0,0.0,0.012727108270304245
BMM,Laboratory,mel3,Cropland,0.0,0.22765072417511617,0.4290227321227178,0.6103030438668154,0.8918075797888435,1.0,False,False,0.38265231969169927,0.8918075797888435,-0.38969695613318456,-0.10819242021115649,0.38969695613318456,0.10819242021115649,0.43795573446460345
BMM,Laboratory,mel3,Decontaminated,0.0,0.02827372462293872,0.20578707977286725,0.39731102551948416,0.7693513961673701,0.0,False,True,0.36903730089654546,0.7693513961673701,0.02827372462293872,0.0,0.02827372462293872,0.0,0.12025054730173548
BMM,Laboratory,mel3,Forest,0.0,0.09119045296149927,0.2142493369591234,0.34537080995478264,0.6120488588813825,0.0,False,True,0.25418035699328334,0.6120488588813825,0.09119045296149927,0.0,0.09119045296149927,0.0,0.13253815903286748
BMM,Laboratory,mel3,Subsurface,0.0,1.3823577621641999e-17,0.07220552245474496,0.178152148095779,0.40727259068423616,0.0,False,True,0.178152148095779,0.40727259068423616,1.3823577621641999e-17,0.0,1.3823577621641999e-17,0.0,0.042683813997370784
