sample,L,h,Si,Zn,Mn,K,Ti,y,C_star
mel33,3.586083639574535,4.306886285571646,12.109699400872584,4.865301189352582,6.5248536892827245,9.38942084880692,8.359696921337882,-0.9882554631794772,2.6554639034267797
mel34,3.451579973118983,4.2739386743068755,12.018905367168257,4.868380246515384,6.833591920679246,9.097489652425347,8.320321492840858,-0.9890415377025554,2.597442525368695
mel36,3.5659225918318316,4.299558826841395,12.075284344330777,4.899480244730094,6.852242569051878,9.297907927603129,8.429954152149882,-0.9880810840926499,2.6522564594381706
mel38,3.6730215028230986,4.316129365923383,12.121221479059331,4.8491354529946,6.829025875214045,9.348356443379062,8.385258238089824,-0.9818516341319063,2.762644968458734
mel40,3.7961500141500513,4.3222611959664095,12.271954014643686,4.848743618813809,6.878604493490436,9.544223545578674,8.538169639319293,-0.9713811446207862,2.9301314150024615
mel41,3.458682017230454,4.2692899620727705,12.110314765523068,4.894176381402003,6.872470011792862,9.131577428388479,8.36558394607348,-0.9843017391190311,2.653486777595816
mel43,3.6094813894467745,4.2868296622863555,12.13257464115443,4.839055833834204,6.702598982682314,9.225185633776611,8.372176667878126,-0.9822493595525339,2.7513658831576016
mel45,3.7430866370891156,4.295579047679346,12.173478170292267,4.8151879700833735,6.54645537065048,9.315196660532887,8.29839269536945,-0.9693805680242518,2.94409304354814
mel47,3.8541932544565505,4.282046592716586,12.223022187037223,4.754624139156429,6.460764804045402,9.422034629553485,8.343375375113503,-0.957817852541597,3.1316921131752533
mel48,3.6448371262360055,4.311489352895503,12.237511233265439,4.808845454106903,6.798821720937529,9.43013271425683,8.492492628794265,-0.9843734783648221,2.7258372802445408
mel49,3.6641698347352003,4.303813002107555,12.09194099793522,4.753331536968612,6.587770376218372,9.285147242700534,8.328303712968145,-0.978023770726601,2.8058211180806265
mel50,3.727084588761131,4.3102270756217465,12.16827004637775,4.811615087679249,6.710632725856024,9.370730687582009,8.378294276525704,-0.9799457634036307,2.8228094792897362
mel51,3.7411146876874497,4.310682876883952,12.247324467661304,4.854293326261248,6.663605125885249,9.511536220641664,8.44704965817189,-0.9740118325220489,2.884409788959889
mel52,3.7262656326525305,4.304783826475142,12.243534601437776,4.840084192901217,6.68770693257523,9.425654956752012,8.389034767082407,-0.97196840519871,2.8992841481851337
mel53,3.7262072617071316,4.316210266637616,12.277417947880666,4.8218126509599415,6.728413278897174,9.48731886495427,8.467546960926573,-0.976346361534833,2.8474196403711454
mel54,3.675059561795283,4.310041429950437,12.28788302072774,4.899405737409714,6.684361696412718,9.449457267447016,8.447019623181124,-0.9797598516918701,2.790134438204919
mel55,3.6633079657503713,4.298239787522786,12.264780136707824,4.888015580548345,6.772840072185427,9.418984918889551,8.451779620867912,-0.9951638941492801,2.6479389453242117
mel56,3.766095978352218,4.298789854105391,12.255381722660031,4.802298250099019,6.563940149185663,9.444710271370365,8.366421463163581,-0.9687135902948107,2.961066110154495
mel57,3.7466399540109148,4.317678336376132,12.257569619173696,4.858726543710496,6.747011244014993,9.509033598547726,8.487063826434726,-0.9750135490492592,2.871043644200597
mel58,3.6627758646637254,4.31175538077923,12.25435506176982,4.7960384487505126,6.657022110308558,9.466634713214985,8.440769925653008,-0.9833016749294197,2.747451160189704
