sample,source_label,estimated_proportion,true_proportion,ratio_objective
mel54,Decontaminated,0.1336277672554708,0.2,0.00046455771482269023
mel54,Cropland,0.5730131783821373,0.4,0.00046455771482269023
mel54,Forest,0.1858817379040518,0.2,0.00046455771482269023
mel55,Subsurface,0.0,0.2,0.002142554497624836
mel55,Decontaminated,0.16320819705217232,0.2,0.002142554497624836
mel55,Cropland,0.5301899688330133,0.2,0.002142554497624836
mel55,Forest,0.3066018341148145,0.4,0.002142554497624836
mel56,Subsurface,0.418339949462902,0.55,0.0005205794424046005
mel56,Decontaminated,0.1400845916959249,0.15,0.0005205794424046005
mel56,Cropland,0.35923059095635157,0.15,0.0005205794424046005
mel56,Forest,0.0823448678848216,0.15,0.0005205794424046005
mel57,Subsurface,0.06105847960894912,0.15,0.0003868755740713598
mel57,Decontaminated,0.5013480584849093,0.55,0.0003868755740713598
mel57,Cropland,0.3780021705170836,0.15,0.0003868755740713598
mel57,Forest,0.05959129138905797,0.15,0.0003868755740713598
mel58,Subsurface,0.04643059628731433,0.15,0.0019339227525044067
mel58,Decontaminated,0.2602231940812901,0.15,0.0019339227525044067
mel58,Cropland,0.6324461797986896,0.55,0.0019339227525044067
mel58,Forest,0.06090002983270618,0.15,0.0019339227525044067
mel59,Subsurface,0.14359085657372775,0.15,0.004044828232791971
mel59,Decontaminated,0.0,0.15,0.004044828232791971
mel59,Cropland,0.2942529522856637,0.15,0.004044828232791971
mel59,Forest,0.5621561911406086,0.55,0.004044828232791971
mel60,Subsurface,0.6003030521347508,0.7,0.0002605664496784496
mel60,Decontaminated,0.08702196602822405,0.1,0.0002605664496784496
mel60,Cropland,0.1882960620661019,0.1,0.0002605664496784496
mel60,Forest,0.12437891977092319,0.1,0.0002605664496784496
mel61,Subsurface,0.0,0.1,0.0011594523146677572
mel61,Decontaminated,0.7830512182905134,0.7,0.0011594523146677572
mel61,Cropland,0.08490414304603065,0.1,0.0011594523146677572
mel61,Forest,0.13204463866345595,0.1,0.0011594523146677572
mel62,Subsurface,0.025450831898487576,0.1,0.0018699678038490192
mel62,Decontaminated,0.1779092427221752,0.1,0.0018699678038490192
mel62,Cropland,0.773923795487003,0.7,0.0018699678038490192
mel62,Forest,0.022716129892334118,0.1,0.0018699678038490192
