sample,tracer,observed,predicted,residual
mel20,y,-0.9599787102920021,-0.9643933463530593,0.004414636061057187
mel20,C_star,0.9857929292332412,0.9826224167846831,0.0031705124485581493
mel22,L,0.9634409281337617,0.9703231380706966,-0.006882209936934891
mel22,h,0.9975922722871382,0.996236535763137,0.0013557365240012276
mel22,Si,0.9977354077077387,0.997906197681405,-0.00017078997366626325
mel22,Zn,0.9924877469618013,0.9813305379186268,0.01115720904317452
mel22,Mn,0.9400359528888775,0.9451743870831324,-0.0051384341942548595
mel22,K,0.9889859945372488,0.9877514361986186,0.0012345583386301762
mel22,Ti,0.985314923054945,0.9761683995792146,0.009146523475730306
mel22,y,-0.9709572962830509,-0.9751312441195754,0.004173947836524472
mel22,C_star,0.9352017312332879,0.9294561019426538,0.005745629290634047
mel24,L,0.945136259141274,0.9499991398259346,-0.004862880684660675
mel24,h,0.9999155717614655,0.9975323461419592,0.002383225619506324
mel24,Si,0.9999525970379942,0.9981119400606262,0.001840656977368016
mel24,Zn,0.9896368204955549,0.9899861257921787,-0.00034930529662380305
mel24,Mn,0.9555841019871222,0.9566793274636949,-0.0010952254765727032
mel24,K,0.9899699288128829,0.9890673268862812,0.0009026019266017427
mel24,Ti,0.9897833516872891,0.9859552955838093,0.0038280561034798044
mel24,y,-0.9808401108062217,-0.983332057550231,0.0024919467440093213
mel24,C_star,0.8897667041367558,0.887279697334338,0.002487006802417868
mel26,L,0.9257389843851528,0.931311062171954,-0.005572077786801244
mel26,h,1.0003387523071112,0.9993355559663383,0.0010031963407729494
mel26,Si,1.002394426423911,0.9990398243943102,0.003354602029600917
mel26,Zn,0.9926606851538168,0.9979905833325018,-0.005329898178685011
mel26,Mn,0.9626523359969195,0.96260005672772,5.2279269199484446e-05
mel26,K,0.9950996320915965,0.9913218809646063,0.003777751126990192
mel26,Ti,0.9968444539458114,0.994616140176866,0.0022283137689455
mel26,y,-0.9896863563545167,-0.9914492893999018,0.0017629330453851066
mel26,C_star,0.8479842718251884,0.8460395329325493,0.0019447388926391307
mel27,L,0.87470817333861,0.8755770608712986,-0.0008688875326886558
mel27,h,0.9905342887266935,0.985181218044785,0.0053530706819084894
mel27,Si,0.9855647662914102,0.9856466182753157,-8.185198390553428e-05
mel27,Zn,0.9964441252236813,0.9990533194374538,-0.002609194213772481
mel27,Mn,1.002221519757579,0.9879400592829108,0.014281460474668162
mel27,K,0.9574464829273325,0.9553761995274096,0.0020702833999228787
mel27,Ti,0.9936029182258851,0.98596736858333,0.007635549642555084
mel27,y,-0.9967508546197811,-0.996911816005736,0.00016096138595489418
mel27,C_star,0.8004140170943175,0.803677323804232,-0.003263306709914482
mel29,L,0.8852273264253104,0.8883404456926942,-0.0031131192673837793
mel29,h,0.9943516156028588,0.9882424240695532,0.00610919153330558
mel29,Si,0.9897497523827965,0.9884960086513952,0.0012537437314013022
mel29,Zn,0.9971371265930724,0.9987967983895615,-0.0016596717964890706
mel29,Mn,0.9918490352932029,0.9835112376629206,0.008337797630282306
mel29,K,0.9740734261365127,0.9633003307075975,0.010773095428915247
mel29,Ti,0.9922927204368206,0.9880482353296288,0.0042444851071917755
mel29,y,-0.9943985678723521,-0.9954910246397908,0.001092456767438632
mel29,C_star,0.8100943064924399,0.8141028033373365,-0.004008496844896681
mel31,L,0.8978565804228316,0.8983298600363742,-0.00047327961354259873
mel31,h,0.9965085056814944,0.9921288239751334,0.004379681706361049
mel31,Si,0.9946229365108165,0.992333899896863,0.00228903661395341
mel31,Zn,1.0044604314964394,0.999259661160495,0.005200770335944349
mel31,Mn,0.9821876055261429,0.9723447492495334,0.009842856276609524
mel31,K,0.9823230962983973,0.972288590686186,0.010034505612211309
mel31,Ti,0.9937030621750329,0.9900242832200231,0.003678778955009787
mel31,y,-0.996375250284605,-0.9957925288461035,-0.0005827214385015766
mel31,C_star,0.8109119495771568,0.8162166316374858,-0.005304682060328969
mel33,L,0.9102663945474043,0.9128424593898965,-0.002576064842492176
mel33,h,0.99911127009706,0.9947583149261253,0.0043529551709347025
mel33,Si,0.9868452206450088,0.9953842538958944,-0.008539033250885564
mel33,Zn,0.9925034746752296,0.9964938458225076,-0.00399037114727796
mel33,Mn,0.9529038087368559,0.9578670329846265,-0.004963224247770626
mel33,K,0.9823118138542769,0.9787934422342424,0.003518371620034544
mel33,Ti,0.9841223743148193,0.9877492921872668,-0.0036269178724475104
mel33,y,-0.9920487194012226,-0.9933366777107482,0.0012879583095255498
mel33,C_star,0.8302146396601666,0.8317321286865085,-0.0015174890263418561
mel34,L,0.8761249244024335,0.8794087750639017,-0.0032838506614681906
mel34,h,0.9914680848456435,0.985725387218044,0.005742697627599491
mel34,Si,0.9794462212761441,0.9861157247325241,-0.006669503456379955
mel34,Zn,0.9931315909652328,0.9987576081964475,-0.005626017231214697
mel34,Mn,0.9979926108173769,0.9882047374679872,0.009787873349389686
mel34,K,0.9517702642043142,0.957031792633049,-0.005261528428734841
mel34,Ti,0.9794870100729356,0.9863948390370713,-0.006907828964135665
mel34,y,-0.992837811142203,-0.9961289866655476,0.0032911755233445694
mel34,C_star,0.8120746086791703,0.808332747033215,0.0037418616459552467
mel36,L,0.9051488551692023,0.9022809081771377,0.0028679469920646072
mel36,h,0.9974114465788281,0.9891620702993906,0.008249376279437448
mel36,Si,0.984040664318527,0.9889935978805398,-0.004952933562012762
mel36,Zn,0.9994758757462127,0.9974374196766027,0.0020384560696099507
mel36,Mn,1.0007163920262774,0.9911960974450135,0.00952029458126391
mel36,K,0.9727378236086248,0.9674240860539922,0.005313737554632603
