feature-set,model,outer-fold,inner-mae,best-parameters
microbial-summaries,gradient-boosting,5,1148.007705349045,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 1, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 300}"
microbial-summaries,naive-mean,1,,{}
microbial-summaries,naive-mean,2,,{}
microbial-summaries,naive-mean,3,,{}
microbial-summaries,naive-mean,4,,{}
microbial-summaries,naive-mean,5,,{}
microbial-summaries,random-forest,1,1174.325857776936,"{'regressor__max_depth': None, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 2}"
microbial-summaries,random-forest,2,1252.6281064956397,"{'regressor__max_depth': 10, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 5}"
microbial-summaries,random-forest,3,1185.7678581029274,"{'regressor__max_depth': None, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 5}"
microbial-summaries,random-forest,4,1135.7199750154523,"{'regressor__max_depth': 10, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 5}"
microbial-summaries,random-forest,5,1112.6337362060603,"{'regressor__max_depth': None, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 2}"
taxonomic-composition,elastic-net,1,1146.0248884239234,"{'feature-screen__k': 250, 'regressor__alpha': 10.0, 'regressor__l1_ratio': 0.5}"
taxonomic-composition,elastic-net,2,1194.1922460463668,"{'feature-screen__k': 100, 'regressor__alpha': 10.0, 'regressor__l1_ratio': 0.9}"
taxonomic-composition,elastic-net,3,1152.3629280614475,"{'feature-screen__k': 500, 'regressor__alpha': 10.0, 'regressor__l1_ratio': 0.5}"
taxonomic-composition,elastic-net,4,1159.2707783966682,"{'feature-screen__k': 500, 'regressor__alpha': 10.0, 'regressor__l1_ratio': 0.1}"
taxonomic-composition,elastic-net,5,1105.9431048358936,"{'feature-screen__k': 500, 'regressor__alpha': 10.0, 'regressor__l1_ratio': 0.5}"
taxonomic-composition,gradient-boosting,1,1169.0129700360642,"{'feature-screen__k': 100, 'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 300}"
taxonomic-composition,gradient-boosting,2,1214.2533508730144,"{'feature-screen__k': 100, 'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
taxonomic-composition,gradient-boosting,3,1179.1176161395404,"{'feature-screen__k': 500, 'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
taxonomic-composition,gradient-boosting,4,1138.4174487206,"{'feature-screen__k': 500, 'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
taxonomic-composition,gradient-boosting,5,1139.238161817024,"{'feature-screen__k': 500, 'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
taxonomic-composition,naive-mean,1,,{}
taxonomic-composition,naive-mean,2,,{}
taxonomic-composition,naive-mean,3,,{}
taxonomic-composition,naive-mean,4,,{}
taxonomic-composition,naive-mean,5,,{}
taxonomic-composition,random-forest,1,1146.9340492707215,"{'feature-screen__k': 100, 'regressor__max_depth': 10, 'regressor__max_features': 0.5, 'regressor__min_samples_leaf': 2}"
taxonomic-composition,random-forest,2,1199.33026816671,"{'feature-screen__k': 100, 'regressor__max_depth': None, 'regressor__max_features': 0.5, 'regressor__min_samples_leaf': 2}"
taxonomic-composition,random-forest,3,1165.7944130311637,"{'feature-screen__k': 500, 'regressor__max_depth': 10, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 2}"
taxonomic-composition,random-forest,4,1144.020658821841,"{'feature-screen__k': 100, 'regressor__max_depth': 10, 'regressor__max_features': 0.5, 'regressor__min_samples_leaf': 2}"
taxonomic-composition,random-forest,5,1092.4239499784446,"{'feature-screen__k': 250, 'regressor__max_depth': 10, 'regressor__max_features': 0.5, 'regressor__min_samples_leaf': 2}"
