sample,source,type,Mg,Al,Si,K,Ca,Ti,Mn,Fe,Ni,Cu,Zn,Sr,L_star,a_star,b_star,C_star,h,x,y,z,L,a,b,u_star,v_star,u_prime,v_prime
mel19,melange,target,4350.8,90832.2,206591.5,13521.74,10021.78,4664.42,788.72,46550.72,45.8,32.62,130.4,97.24,44.74989585,3.79652884,14.16370202,14.66370821,74.99520997,0.368846567,0.372591701,0.258561732,37.89956946,2.878353581,8.935464718,12.36488419,16.55811003,0.219114289,0.49801305
mel20,melange,target,2879.95,108958.5,194119.1,11540.25,4808.72,3797.04,552.49,45788.26,38.85,29.02,115.12,70.01,55.69774296,6.862202993,22.37963657,23.4081735,72.95309798,0.389182932,0.384309109,0.226507959,48.59282786,5.695227754,14.61618089,21.6881034,26.50895489,0.227814088,0.506162471
mel22,melange,target,3777.51,107282,207592.9,12749.1,6694.37,4314.89,624.37,47963.92,36.77,36.03,129.7,77.92,51.61667199,5.579891081,19.11304409,19.91091245,73.72473169,0.381503317,0.380128971,0.238367712,44.50359285,4.483624261,12.34313532,17.84961549,22.59183093,0.22446179,0.503219708
mel24,melange,target,4303.38,103442.6,213318.5,12869.57,8030.76,4481.82,694.51,47135.07,39,30.27,127.9,88.5,48.4425736,4.610929919,16.588789,17.21778372,74.46680106,0.37494387,0.376404953,0.248651178,41.40728731,3.607794654,10.62088856,14.96890662,19.56163,0.221631679,0.500614549
mel26,melange,target,5051.38,98135.19,219807.1,13516.32,9698.63,4758.87,728.95,46979.79,54.64,32.21,129.81,95.8,45.24106107,4.000010943,14.52293391,15.06389093,74.60276825,0.370073589,0.373102487,0.256823924,38.36092729,3.046461385,9.17624288,12.85496237,16.97850738,0.219723095,0.498423608
mel27,melange,target,4410.4,77517.15,178793.5,9430.89,10023.75,4629.62,955.8,51740.46,61.24,36.08,132.24,103.89,37.55713027,4.09985647,12.27065857,12.93770361,71.51543805,0.370314365,0.370486001,0.259199634,31.37459671,2.927922669,7.286706919,11.25364629,13.54026538,0.220911321,0.497280908
mel29,melange,target,4543.23,81215.48,188215.2,11055.4,10055.84,4578.38,890.27,49257.93,46.08,47.8,132.69,100.14,39.05952832,3.967701075,12.74095995,13.34455552,72.70199025,0.370044462,0.371355176,0.258600362,32.70211575,2.869894301,7.660295802,11.43831499,14.25899005,0.220390058,0.497634065
mel31,melange,target,4902.64,85712.5,199813.7,11962.46,10201.82,4633.56,833.28,48717.86,51.64,41.27,137.54,104.99,40.91650155,3.826284492,12.82069746,13.37950059,73.38110694,0.368096184,0.370624651,0.261279165,34.37033924,2.810741015,7.865166305,11.44786521,14.60436549,0.2193881,0.497014611
mel33,melange,target,4558.92,78318,181625,11961.17,9156.33,4271.4,681.88,43516.51,57.39,42.92,129.71,99.92,42.80309196,3.872830227,13.69449614,14.23158661,74.209063,0.369336386,0.372225486,0.258438128,36.09244774,2.890945733,8.501166812,12.08577722,15.78585342,0.219580582,0.497921041
mel34,melange,target,4338.4,73107.27,165861,8932.84,9074.48,4106.48,928.52,47915.9,48.45,32.22,130.11,96.87,37.75832113,4.193187242,12.75782206,13.42934886,71.80389154,0.372129332,0.371933004,0.255937664,31.55020142,3.001076138,7.552300257,11.62194809,14.06367718,0.221540597,0.498203332
