theta,rho,y,surface_charge_density
2.7528336964566082,0.18952013542297944,0.037309911204858937,-24.114913394079974
2.7633406952980457,0.18464827951117854,0.03534419956965812,-25.46508615700334
2.7738476941394827,0.17975603916624514,0.03342978408039876,-26.78151501803137
2.78435469298092,0.17484395447198808,0.03156687608091019,-28.34630372455196
2.7948616918223577,0.16991256770295388,0.0297556812288009,-29.99863510188513
2.805368690663795,0.16496242326456081,0.02799639947275412,-31.820590646023227
2.8158756895052326,0.159994067632999,0.026289225030454555,-33.96206780325516
2.82638268834667,0.15500804929490167,0.02463434636714723,-36.13248061566863
2.8368896871881075,0.15000491868679425,0.02303194617483212,
2.847396686029545,0.14498522813432857,0.021482201352095276,
2.8579036848709825,0.13994953179130823,0.019985282984580133,
2.86841068371242,0.13489838557851214,0.018541356326100378,
2.8789176825538574,0.12983234712232325,0.01715058078039633,
2.889424681395295,0.12475197569316877,0.01581310988353779,
2.8999316802367323,0.11965783214377884,0.014529091286973994,
2.9104386790781698,0.11455047884727076,0.013298666741233423,
2.9209456779196072,0.10943047963506519,0.012121972080275378,
2.9314526767610443,0.10429839973464161,0.01099913720649437,
2.9419596756024817,0.09915480570713864,0.009930286076379136,
2.952466674443919,0.09400026538480923,0.008915536686828762,
2.9629736732853567,0.08883534780833333,0.007955001062125988,
2.973480672126794,0.08366062316399837,0.007048785241570321,
2.9839876709682316,0.07847666272075295,0.00619698926777168,
2.994494669809669,0.07328403876714097,0.005399707175606117,
3.0050016686511065,0.06808332454812333,0.004657026981834622,
3.015508667492544,0.06287509420179391,0.00396903067538662,
3.0260156663339814,0.05765992269599706,0.00333579420830854,
3.036522665175419,0.05243838576485346,0.002757387487379137,
3.0470296640168564,0.04721105984520132,0.002233874366391997,
3.057536662858294,0.041978522012960075,0.0017653126391063423,
3.0680436616997313,0.036741349919423516,0.0013517540328669142,
3.0785506605411688,0.031500121727489394,0.0009932442028932065,
3.089057659382606,0.026255416047832734,0.0006898227272398305,
3.0995646582240433,0.02100781187502869,0.00044152310242656645,
3.1100716570654807,0.01575788852363514,0.0002483727397411539,
3.120578655906918,0.0105062255642378,0.00011039296221276862,
3.1310856547483557,0.005253402759468173,2.7599002258127392e-05,
3.141592653589793,6.123233995736766e-17,0.0,
